category,sub_category,packaging_material,strength,biodegradability_score,co2_emission_score,recyclability_percent,weight_capacity_kg
Electronics,Smartphone,Mushroom (Mycelium),medium,100,5,1,13.84
Electronics,Smartphone,Bio-Polycarbonate,high,1,56,33,33.49
Electronics,Smartphone,Nylon (PA),high,3,84,29,64.98
Electronics,Smartphone,Polycarbonate (PC),high,0,89,22,4.33
Electronics,Smartphone,Paperboard,medium,80,47,87,0.16
Electronics,Smartphone,Hempcrete Molded,medium,100,0,0,22.89
Electronics,Smartphone,Double-Wall Corrugated,high,87,51,92,1.83
Electronics,Smartphone,Corrugated Cardboard,high,84,39,93,10.55
Electronics,Smartphone,Recycled PET (rPET),medium,10,50,93,34.26
Electronics,Smartphone,Honeycomb Paperboard,high,93,37,97,28.75
Electronics,Smartphone,ABS Plastic,high,0,91,14,64.51
Electronics,Smartphone,VCI Paper (Anti-Corrosion),medium,88,56,77,4.97
Electronics,Smartphone,PET,medium,15,82,75,42.29
Electronics,Laptop,Mushroom (Mycelium),medium,98,2,0,7.42
Electronics,Laptop,Bio-Polycarbonate,high,0,55,33,51.28
Electronics,Laptop,Nylon (PA),high,0,86,33,13.09
Electronics,Laptop,Polycarbonate (PC),high,0,90,18,49.72
Electronics,Laptop,Paperboard,medium,78,47,87,15.67
Electronics,Laptop,Hempcrete Molded,medium,100,0,1,72.72
Electronics,Laptop,Double-Wall Corrugated,high,83,50,90,29.7
Electronics,Laptop,Corrugated Cardboard,high,85,42,93,69.15
Electronics,Laptop,Recycled PET (rPET),medium,12,53,90,3.49
Electronics,Laptop,Honeycomb Paperboard,high,91,36,96,40.52
Electronics,Laptop,ABS Plastic,high,0,91,15,45.57
Electronics,Laptop,VCI Paper (Anti-Corrosion),medium,86,52,81,60.18
Electronics,Laptop,PET,medium,12,82,78,31.81
Electronics,Tablet,Mushroom (Mycelium),medium,97,5,3,61.18
Electronics,Tablet,Bio-Polycarbonate,high,0,54,29,57.87
Electronics,Tablet,Nylon (PA),high,1,83,33,48.87
Electronics,Tablet,Polycarbonate (PC),high,0,93,17,46.79
Electronics,Tablet,Paperboard,medium,78,42,88,23.39
Electronics,Tablet,Hempcrete Molded,medium,100,0,0,47.85
Electronics,Tablet,Double-Wall Corrugated,high,84,49,89,28.78
Electronics,Tablet,Corrugated Cardboard,high,88,42,89,57.08
Electronics,Tablet,Recycled PET (rPET),medium,8,53,93,19.28
Electronics,Tablet,Honeycomb Paperboard,high,89,32,100,32.12
Electronics,Tablet,ABS Plastic,high,0,94,16,15.21
Electronics,Tablet,VCI Paper (Anti-Corrosion),medium,88,52,80,42.29
Electronics,Tablet,PET,medium,15,87,76,18.77
Electronics,Smartwatch,Mushroom (Mycelium),medium,100,8,0,15.31
Electronics,Smartwatch,Bio-Polycarbonate,high,1,58,29,52.14
Electronics,Smartwatch,Nylon (PA),high,0,83,28,60.63
Electronics,Smartwatch,Polycarbonate (PC),high,0,91,22,34.29
Electronics,Smartwatch,Paperboard,medium,80,45,85,66.95
Electronics,Smartwatch,Hempcrete Molded,medium,99,0,3,67.22
Electronics,Smartwatch,Double-Wall Corrugated,high,88,52,89,20.48
Electronics,Smartwatch,Corrugated Cardboard,high,84,42,87,61.37
Electronics,Smartwatch,Recycled PET (rPET),medium,7,49,93,12.43
Electronics,Smartwatch,Honeycomb Paperboard,high,89,32,100,16.74
Electronics,Smartwatch,ABS Plastic,high,0,92,15,18.39
Electronics,Smartwatch,VCI Paper (Anti-Corrosion),medium,84,57,77,30.35
Electronics,Smartwatch,PET,medium,17,82,73,72.19
Electronics,Camera,Mushroom (Mycelium),medium,100,8,0,53.45
Electronics,Camera,Bio-Polycarbonate,high,1,52,27,20.08
Electronics,Camera,Nylon (PA),high,0,83,30,3.96
Electronics,Camera,Polycarbonate (PC),high,1,87,17,18.04
Electronics,Camera,Paperboard,medium,78,46,85,33.64
Electronics,Camera,Hempcrete Molded,medium,100,0,0,6.16
Electronics,Camera,Double-Wall Corrugated,high,84,47,95,60.26
Electronics,Camera,Corrugated Cardboard,high,86,40,88,47.55
Electronics,Camera,Recycled PET (rPET),medium,9,53,87,11.39
Electronics,Camera,Honeycomb Paperboard,high,89,37,99,64.39
Electronics,Camera,ABS Plastic,high,0,93,15,1.34
Electronics,Camera,VCI Paper (Anti-Corrosion),medium,84,58,79,26.22
Electronics,Camera,PET,medium,18,85,72,51.85
Electronics,Monitor,Mushroom (Mycelium),medium,100,3,0,50.71
Electronics,Monitor,Bio-Polycarbonate,high,0,52,28,69.36
Electronics,Monitor,Nylon (PA),high,2,83,29,17.22
Electronics,Monitor,Polycarbonate (PC),high,0,87,20,39.77
Electronics,Monitor,Paperboard,medium,78,42,87,67.3
Electronics,Monitor,Hempcrete Molded,medium,100,0,3,25.49
Electronics,Monitor,Double-Wall Corrugated,high,84,49,91,64.24
Electronics,Monitor,Corrugated Cardboard,high,87,37,90,6.4
Electronics,Monitor,Recycled PET (rPET),medium,10,52,90,43.59
Electronics,Monitor,Honeycomb Paperboard,high,92,32,97,73.03
Electronics,Monitor,ABS Plastic,high,0,96,13,36.47
Electronics,Monitor,VCI Paper (Anti-Corrosion),medium,84,56,77,13.28
Electronics,Monitor,PET,medium,15,82,77,24.47
Electronics,Drone,Mushroom (Mycelium),medium,100,8,0,49.36
Electronics,Drone,Bio-Polycarbonate,high,0,55,29,27.64
Electronics,Drone,Nylon (PA),high,3,87,32,44.28
