Product category,Product sub category,Packaging material,Strength,Biodegradability score,CO2 emission score,Recyclability %,Weight Capacity (kg),CO2_Impact_Index,Cost_Efficiency_Index,Material_Suitability_Score,Strength_Encoded,Fragility,Product_Category_Encoded,Packaging_Material_Encoded
Electronics,Smartphone,Mushroom (Mycelium),medium,1,0.05,0.01,0.183250968345132,0.0495,0.0308617234468938,0.163398058252427,2,1,29,54
Electronics,Smartphone,Bio-Polycarbonate,high,0.01,0.56,0.33,0.445705890209697,0.3752,0.00788243152972612,0.0058252427184466,3,1,29,10
Electronics,Smartphone,Nylon (PA),high,0.03,0.84,0.29,0.866301589421664,0.5964,0.0101536406145625,0.00368932038834951,3,1,29,57
Electronics,Smartphone,Polycarbonate (PC),high,0,0.89,0.22,0.056230800053426,0.6942,0.000668002672010688,0.00233009708737864,3,1,29,75
Electronics,Smartphone,Paperboard,medium,0.8,0.47,0.87,0.000534259382930413,0.0611,0,0.0337864077669903,2,1,29,70
Electronics,Smartphone,Hempcrete Molded,medium,1,0,0,0.304127153733138,0,0.305811623246493,0.970873786407767,2,1,29,42
Electronics,Smartphone,Double-Wall Corrugated,high,0.87,0.51,0.92,0.0228395886202751,0.0408,0.00053440213760855,0.0333980582524272,3,1,29,30
Electronics,Smartphone,Corrugated Cardboard,high,0.84,0.39,0.93,0.139308134099105,0.0273,0.00347361389445558,0.0429126213592233,3,1,29,28
Electronics,Smartphone,Recycled PET (rPET),medium,0.1,0.5,0.93,0.455990383331107,0.035,0.00895123580494322,0.0196116504854369,2,1,29,85
Electronics,Smartphone,Honeycomb Paperboard,high,0.93,0.37,0.97,0.382396153332443,0.0111,0.0101536406145625,0.0485436893203883,3,1,29,43
Electronics,Smartphone,ABS Plastic,high,0,0.91,0.14,0.860024041672232,0.7826,0.00935203740814963,0.00145631067961165,3,1,29,0
Electronics,Smartphone,VCI Paper (Anti-Corrosion),medium,0.88,0.56,0.77,0.0647789501803125,0.1288,0.00120240480961924,0.0280582524271845,2,1,29,107
Electronics,Smartphone,PET,medium,0.15,0.82,0.75,0.563242954454388,0.205,0.00681362725450902,0.0104854368932039,2,1,29,61
Electronics,Laptop,Mushroom (Mycelium),medium,0.98,0.02,0,0.0975023373848003,0.02,0.032999331997328,0.317184466019417,2,1,29,54
Electronics,Laptop,Bio-Polycarbonate,high,0,0.55,0.33,0.683317750767998,0.3685,0.0122912491649967,0.00572815533980582,3,1,29,10
Electronics,Laptop,Nylon (PA),high,0,0.86,0.33,0.173233604915186,0.5762,0.00200400801603206,0.00368932038834951,3,1,29,57
Electronics,Laptop,Polycarbonate (PC),high,0,0.9,0.18,0.662481634833712,0.738,0.00734802939211757,0.00194174757281553,3,1,29,75
Electronics,Laptop,Paperboard,medium,0.78,0.47,0.87,0.207693335114198,0.0611,0.00440881763527054,0.0333980582524272,2,1,29,70
Electronics,Laptop,Hempcrete Molded,medium,1,0,0.01,0.969680780018699,0,0.971543086172345,0.980582524271845,2,1,29,42
Electronics,Laptop,Double-Wall Corrugated,high,0.83,0.5,0.9,0.39508481367704,0.05,0.00774883099532398,0.0329126213592233,3,1,29,30
Electronics,Laptop,Corrugated Cardboard,high,0.85,0.42,0.93,0.92199813009216,0.0294,0.0215096860387442,0.0401941747572816,3,1,29,28
Electronics,Laptop,Recycled PET (rPET),medium,0.12,0.53,0.9,0.0450113530118873,0.053,0.000801603206412826,0.0183495145631068,2,1,29,85
Electronics,Laptop,Honeycomb Paperboard,high,0.91,0.36,0.96,0.539601976759717,0.0144,0.0146960587842351,0.0490291262135922,3,1,29,43
Electronics,Laptop,ABS Plastic,high,0,0.91,0.15,0.607052223854682,0.7735,0.00668002672010688,0.00155339805825243,3,1,29,0
Electronics,Laptop,VCI Paper (Anti-Corrosion),medium,0.86,0.52,0.81,0.802190463470015,0.0988,0.0152304609218437,0.0305825242718447,2,1,29,107
Electronics,Laptop,PET,medium,0.12,0.82,0.78,0.42326699612662,0.1804,0.00507682030728123,0.0104854368932039,2,1,29,61
Electronics,Tablet,Mushroom (Mycelium),medium,0.97,0.05,0.03,0.815546948043275,0.0485,0.13627254509018,0.161844660194175,2,1,29,54
Electronics,Tablet,Bio-Polycarbonate,high,0,0.54,0.29,0.771336984105783,0.3834,0.0140280561122245,0.00514563106796117,3,1,29,10
Electronics,Tablet,Nylon (PA),high,0.01,0.83,0.33,0.651128622946441,0.5561,0.00774883099532398,0.00388349514563107,3,1,29,57
Electronics,Tablet,Polycarbonate (PC),high,0,0.93,0.17,0.623347135034059,0.7719,0.00668002672010688,0.00174757281553398,3,1,29,75
Electronics,Tablet,Paperboard,medium,0.78,0.42,0.88,0.310805396019768,0.0504,0.00721442885771543,0.0374757281553398,2,1,29,70
Electronics,Tablet,Hempcrete Molded,medium,1,0,0,0.637505008681715,0,0.639278557114229,0.970873786407767,2,1,29,42
Electronics,Tablet,Double-Wall Corrugated,high,0.84,0.49,0.89,0.382796847869641,0.0539,0.00774883099532398,0.0335922330097087,3,1,29,30
Electronics,Tablet,Corrugated Cardboard,high,0.88,0.42,0.89,0.760785361292908,0.0462,0.0177688710754843,0.04,3,1,29,28
Electronics,Tablet,Recycled PET (rPET),medium,0.08,0.53,0.93,0.255910244423668,0.0371,0.00480961923847695,0.0181553398058252,2,1,29,85
Electronics,Tablet,Honeycomb Paperboard,high,0.89,0.32,1,0.42740750634433,0,0.0129592518370073,0.0556310679611651,3,1,29,43
Electronics,Tablet,ABS Plastic,high,0,0.94,0.16,0.201549352210498,0.7896,0.0021376085504342,0.0016504854368932,3,1,29,0
Electronics,Tablet,VCI Paper (Anti-Corrosion),medium,0.88,0.52,0.8,0.563242954454388,0.104,0.010688042752171,0.0307766990291262,2,1,29,107
Electronics,Tablet,PET,medium,0.15,0.87,0.76,0.249098437291305,0.2088,0.00280561122244489,0.01,2,1,29,61
Electronics,Smartwatch,Mushroom (Mycelium),medium,1,0.08,0,0.202885000667824,0.08,0.0227120908483634,0.107864077669903,2,1,29,54
Electronics,Smartwatch,Bio-Polycarbonate,high,0.01,0.58,0.29,0.694804327501002,0.4118,0.0117568470273881,0.00495145631067961,3,1,29,10
Electronics,Smartwatch,Nylon (PA),high,0,0.83,0.28,0.808200881527982,0.5976,0.00961923847695391,0.00320388349514563,3,1,29,57
Electronics,Smartwatch,Polycarbonate (PC),high,0,0.91,0.22,0.456391077868305,0.7098,0.00494321977287909,0.00233009708737864,3,1,29,75
Electronics,Smartwatch,Paperboard,medium,0.8,0.45,0.85,0.892613864030987,0.0675,0.0195056780227121,0.0348543689320388,2,1,29,70
Electronics,Smartwatch,Hempcrete Molded,medium,0.99,0,0.03,0.896220114865767,0,0.898062792251169,0.990291262135922,2,1,29,42
Electronics,Smartwatch,Double-Wall Corrugated,high,0.88,0.52,0.89,0.27193802591158,0.0572,0.00521042084168337,0.0324271844660194,3,1,29,30
Electronics,Smartwatch,Corrugated Cardboard,high,0.84,0.42,0.87,0.818084680112195,0.0546,0.0191048764195057,0.0386407766990291,3,1,29,28
Electronics,Smartwatch,Recycled PET (rPET),medium,0.07,0.49,0.93,0.164418325096835,0.0343,0.00334001336005344,0.0194174757281553,2,1,29,85
Electronics,Smartwatch,Honeycomb Paperboard,high,0.89,0.32,1,0.221984773607587,0,0.00681362725450902,0.0556310679611651,3,1,29,43
Electronics,Smartwatch,ABS Plastic,high,0,0.92,0.15,0.244022973153466,0.782,0.00267201068804275,0.00155339805825243,3,1,29,0
Electronics,Smartwatch,VCI Paper (Anti-Corrosion),medium,0.84,0.57,0.77,0.40376652864966,0.1311,0.00694722778891116,0.0269902912621359,2,1,29,107
Electronics,Smartwatch,PET,medium,0.17,0.82,0.73,0.962601843194871,0.2214,0.011623246492986,0.0104854368932039,2,1,29,61
Electronics,Camera,Mushroom (Mycelium),medium,1,0.08,0,0.712301322291973,0.08,0.0793587174348698,0.107864077669903,2,1,29,54
Electronics,Camera,Bio-Polycarbonate,high,0.01,0.52,0.27,0.266595432082276,0.3796,0.00507682030728123,0.00514563106796117,3,1,29,10
Electronics,Camera,Nylon (PA),high,0,0.83,0.3,0.0512889007613196,0.581,0.000668002672010688,0.00349514563106796,3,1,29,57
Electronics,Camera,Polycarbonate (PC),high,0.01,0.87,0.17,0.239348203552825,0.7221,0.00267201068804275,0.00194174757281553,3,1,29,75
Electronics,Camera,Paperboard,medium,0.78,0.46,0.85,0.447709362895686,0.069,0.00961923847695391,0.0336893203883495,2,1,29,70
Electronics,Camera,Hempcrete Molded,medium,1,0,0,0.0806731668224923,0,0.0822979291917168,0.970873786407767,2,1,29,42
Electronics,Camera,Double-Wall Corrugated,high,0.84,0.47,0.95,0.803258982235876,0.0235,0.0168336673346693,0.0362135922330097,3,1,29,30
Electronics,Camera,Corrugated Cardboard,high,0.86,0.4,0.88,0.633498063309737,0.048,0.015497661990648,0.0411650485436893,3,1,29,28
Electronics,Camera,Recycled PET (rPET),medium,0.09,0.53,0.87,0.150527581140644,0.0689,0.00280561122244489,0.0172815533980583,2,1,29,85
Electronics,Camera,Honeycomb Paperboard,high,0.89,0.37,0.99,0.858421263523441,0.0037,0.0225784903139613,0.0480582524271845,3,1,29,43
Electronics,Camera,ABS Plastic,high,0,0.93,0.15,0.0162949111793776,0.7905,0.000133600534402138,0.00155339805825243,3,1,29,0
Electronics,Camera,VCI Paper (Anti-Corrosion),medium,0.84,0.58,0.79,0.348604247362094,0.1218,0.00587842351369406,0.0267961165048544,2,1,29,107
Electronics,Camera,PET,medium,0.18,0.85,0.72,0.690930946974756,0.238,0.00801603206412826,0.0101941747572816,2,1,29,61
Electronics,Monitor,Mushroom (Mycelium),medium,1,0.03,0,0.67570455456124,0.03,0.169405477621911,0.242718446601942,2,1,29,54
Electronics,Monitor,Bio-Polycarbonate,high,0,0.52,0.28,0.924802991852544,0.3744,0.01750167000668,0.00514563106796117,3,1,29,10
Electronics,Monitor,Nylon (PA),high,0.02,0.83,0.29,0.228395886202751,0.5893,0.00267201068804275,0.00359223300970874,3,1,29,57
Electronics,Monitor,Polycarbonate (PC),high,0,0.87,0.2,0.529584613329772,0.696,0.00601202404809619,0.00223300970873786,3,1,29,75
Electronics,Monitor,Paperboard,medium,0.78,0.42,0.87,0.897288633631628,0.0546,0.0209752839011356,0.0372815533980583,2,1,29,70
Electronics,Monitor,Hempcrete Molded,medium,1,0,0.03,0.338854013623614,0,0.340547762191049,1,2,1,29,42
Electronics,Monitor,Double-Wall Corrugated,high,0.84,0.49,0.91,0.856417790837452,0.0441,0.0171008684034736,0.0339805825242718,3,1,29,30
Electronics,Monitor,Corrugated Cardboard,high,0.87,0.37,0.9,0.0838787231200748,0.037,0.00227120908483634,0.0452427184466019,3,1,29,28
Electronics,Monitor,Recycled PET (rPET),medium,0.1,0.52,0.9,0.580606384399626,0.052,0.0109552438209753,0.0183495145631068,2,1,29,85
Electronics,Monitor,Honeycomb Paperboard,high,0.92,0.32,0.97,0.97382129023641,0.0096,0.0295257181028724,0.0556310679611651,3,1,29,43
Electronics,Monitor,ABS Plastic,high,0,0.96,0.13,0.485508214238013,0.8352,0.00507682030728123,0.0012621359223301,3,1,29,0
Electronics,Monitor,VCI Paper (Anti-Corrosion),medium,0.84,0.56,0.77,0.175771336984106,0.1288,0.00307281229124917,0.027378640776699,2,1,29,107
Electronics,Monitor,PET,medium,0.15,0.82,0.77,0.325230399358889,0.1886,0.00387441549766199,0.0107766990291262,2,1,29,61
Electronics,Drone,Mushroom (Mycelium),medium,1,0.08,0,0.657673300387338,0.08,0.0732130928523714,0.107864077669903,2,1,29,54
Electronics,Drone,Bio-Polycarbonate,high,0,0.55,0.29,0.367570455456124,0.3905,0.00654642618570474,0.00504854368932039,3,1,29,10
Electronics,Drone,Nylon (PA),high,0.03,0.87,0.32,0.589822358755176,0.5916,0.00668002672010688,0.00388349514563107,3,1,29,57
Electronics,Drone,Polycarbonate (PC),high,0.02,0.91,0.19,0.892079604648057,0.7371,0.00975283901135605,0.00223300970873786,3,1,29,75
Electronics,Drone,Paperboard,medium,0.79,0.44,0.83,0.34993989581942,0.0748,0.00774883099532398,0.0349514563106796,2,1,29,70
Electronics,Drone,Hempcrete Molded,medium,0.97,0,0.03,0.492453586216108,0,0.494188376753507,0.970873786407767,2,1,29,42
Electronics,Drone,Double-Wall Corrugated,high,0.86,0.5,0.93,0.499131828502738,0.035,0.00988643954575818,0.0340776699029126,3,1,29,30
Electronics,Drone,Corrugated Cardboard,high,0.85,0.39,0.87,0.043408574863096,0.0507,0.0010688042752171,0.041747572815534,3,1,29,28
Electronics,Drone,Recycled PET (rPET),medium,0.1,0.5,0.92,0.954053693067985,0.04,0.0187040748162993,0.0194174757281553,2,1,29,85
Electronics,Drone,Honeycomb Paperboard,high,0.91,0.37,0.97,0.747696006411113,0.0111,0.0197728790915164,0.0480582524271845,3,1,29,43
Electronics,Drone,ABS Plastic,high,0.01,0.95,0.12,0.552691331641512,0.836,0.00574482297929192,0.00135922330097087,3,1,29,0
Electronics,Drone,VCI Paper (Anti-Corrosion),medium,0.88,0.54,0.8,0.853078669694137,0.108,0.015497661990648,0.0296116504854369,2,1,29,107
Electronics,Drone,PET,medium,0.18,0.86,0.76,0.190730599706157,0.2064,0.00227120908483634,0.0104854368932039,2,1,29,61
Electronics,VR Headset,Mushroom (Mycelium),medium,0.97,0.04,0,0.55669827701349,0.04,0.111690046760187,0.188349514563107,2,1,29,54
Electronics,VR Headset,Bio-Polycarbonate,high,0.03,0.57,0.28,0.930145585681849,0.4104,0.0160320641282565,0.00514563106796117,3,1,29,10
Electronics,VR Headset,Nylon (PA),high,0.02,0.83,0.33,0.99024976626152,0.5561,0.0117568470273881,0.00407766990291262,3,1,29,57
Electronics,VR Headset,Polycarbonate (PC),high,0,0.93,0.19,0.295178309069053,0.7533,0.0032064128256513,0.00194174757281553,3,1,29,75
Electronics,VR Headset,Paperboard,medium,0.78,0.42,0.82,0.136369707492988,0.0756,0.0032064128256513,0.0361165048543689,2,1,29,70
Electronics,VR Headset,Hempcrete Molded,medium,1,0,0.01,0.296380392680647,0,0.298062792251169,0.980582524271845,2,1,29,42
Electronics,VR Headset,Double-Wall Corrugated,high,0.83,0.49,0.9,0.86710297849606,0.049,0.0173680694722779,0.0335922330097087,3,1,29,30
Electronics,VR Headset,Corrugated Cardboard,high,0.86,0.4,0.88,0.00494189929210632,0.048,0.000133600534402138,0.0411650485436893,3,1,29,28
Electronics,VR Headset,Recycled PET (rPET),medium,0.1,0.51,0.9,0.649926539334847,0.051,0.0125584502338009,0.0186407766990291,2,1,29,85
Electronics,VR Headset,Honeycomb Paperboard,high,0.92,0.37,0.98,0.886737010818753,0.0074,0.0233800935203741,0.0485436893203883,3,1,29,43
